comp_id,begin,end,COGS,amort,curr_assets,curr_liab,extra_exp,extra_inc,extra_profit_loss,finished_prod,fixed_assets,inc_bef_tax,intang_assets,inventories,liq_assets,material_exp,net_dom_sales,net_exp_sales,personnel_exp,profit_loss_year,sales,share_eq,subscribed_cap,tang_assets,wages,D,balsheet_flag,balsheet_length,balsheet_notfullyear,year,founded_year,exit_year,ceo_count,foreign,female,birth_year,inoffice_days,gender,origin,nace_main,ind2,ind,urban_m,region_m,founded_date,exit_date,labor_avg,default
1001541.0,2012-01-01,2012-12-31,,481.4814758300781,9629.6298828125,1303.7037353515625,0.0,0.0,0.0,,190566.671875,-7696.29638671875,0.0,0.0,9048.1484375,8351.8515625,,,0.0,-7722.22216796875,1203.7037353515625,191262.96875,200740.734375,190566.671875,,,0,365,0,2012,2008.0,,1.0,0.0,0.0,1974.0,3222.0,male,Domestic,5610.0,56.0,3.0,3,Central,2008-02-24,,,0
1002029.0,2012-01-01,2012-12-31,,14929.6298828125,203885.1875,120444.453125,0.0,0.0,0.0,,23459.259765625,11818.5185546875,0.0,677.7777709960938,15077.77734375,984270.375,,,41037.03515625,9722.22265625,1136514.875,93144.4453125,11111.111328125,23459.259765625,,,0,365,0,2012,2006.0,,2.0,0.0,0.0,1975.0,3101.0,male,Domestic,2711.0,27.0,2.0,3,East,2006-07-03,,0.4583333134651184,0
1003200.0,2012-01-01,2012-12-31,,25.925926208496094,22.22222137451172,10996.2958984375,0.0,0.0,0.0,,0.0,-2337.037109375,0.0,0.0,22.22222137451172,1933.3333740234373,,,1355.5555419921875,-2340.74072265625,2785.185302734375,-23785.185546875,1851.851806640625,0.0,,,0,365,0,2012,2003.0,2014.0,2.0,0.0,1.0,,1754.0,female,Domestic,5630.0,56.0,3.0,1,Central,2003-10-21,2014-08-09,,1
1011889.0,2012-01-01,2012-12-31,,36625.92578125,160166.671875,18911.111328125,0.0,0.0,0.0,,933574.0625,96751.8515625,1537.0369873046875,11866.6669921875,131766.671875,204659.265625,,,92614.8125,96751.8515625,433666.65625,1071011.125,17481.482421875,932037.0625,,,0,365,0,2012,1992.0,,1.0,0.0,0.0,1946.0,6198.0,male,Domestic,5510.0,55.0,3.0,2,West,1992-11-09,,1.621212124824524,0
1014183.0,2012-01-01,2012-12-31,,12551.8515625,199903.703125,8274.07421875,0.0,7.407407283782959,7.407407283782959,,118229.6328125,-1429.629638671875,0.0,0.0,18585.185546875,66744.4453125,,,55711.109375,-2351.851806640625,129729.6328125,309885.1875,11111.111328125,118229.6328125,,,0,365,0,2012,2001.0,,1.0,0.0,0.0,1946.0,3594.0,male,Domestic,5510.0,55.0,3.0,2,Central,2001-12-21,,0.7152777910232544,0
1018301.0,2012-01-01,2012-12-31,,0.0,1811.111083984375,592.5925903320312,0.0,11.11111068725586,11.11111068725586,,52155.5546875,-1096.2962646484375,118.51851654052734,496.2962951660156,1314.8148193359375,3325.926025390625,,,3407.407470703125,-1107.4073486328125,6722.22216796875,10781.4814453125,11111.111328125,52037.03515625,,,0,365,0,2012,2004.0,,2.0,0.0,0.5,1961.5,1246.5,mix,Domestic,5630.0,56.0,3.0,2,Central,2004-06-29,,0.1527777761220932,0
1022796.0,2012-01-01,2012-12-31,,688.888916015625,6166.66650390625,6792.5927734375,0.0,0.0,0.0,,5133.33349609375,-1262.9630126953125,0.0,555.5555419921875,3133.333251953125,17629.62890625,,,8070.37060546875,-1311.111083984375,26096.296875,3718.5185546875,3703.70361328125,5133.33349609375,,,0,365,0,2012,2001.0,2016.0,1.0,0.0,0.0,1969.0,5201.0,male,Domestic,5630.0,56.0,3.0,1,Central,2001-02-01,2016-06-06,0.0833333358168602,0
1035705.0,2012-01-01,2012-12-31,,251.8518524169922,3355.5556640625,3059.25927734375,0.0,0.0,0.0,,0.0,-7992.5927734375,0.0,2796.29638671875,262.96295166015625,24588.888671875,,,7411.111328125,-8000.0,24025.92578125,296.2962951660156,11111.111328125,0.0,,,0,365,0,2012,2011.0,,2.0,0.5,0.0,1973.0,1040.0,male,mix,5630.0,56.0,3.0,2,East,2011-10-26,,0.1041666716337204,0
1046213.0,2012-01-01,2012-12-31,0.0,66944.4453125,2406474.0,1225500.0,19877.77734375,0.0,-19877.77734375,0.0,1434974.125,124362.9609375,0.0,1866107.375,3659.25927734375,3342996.25,30425.92578125,5359355.5,1924614.875,110022.21875,5389781.5,2482377.75,22962.962890625,1434974.125,1306737.0,,0,365,0,2012,1998.0,,1.0,1.0,0.0,1941.0,3469.0,male,Foreign,2920.0,29.0,1.0,3,Central,1998-04-07,,7.861111164093018,0
1056952.0,2012-01-01,2012-12-31,,340.7407531738281,1622.22216796875,24096.296875,0.0,0.0,0.0,,585.1851806640625,-11185.185546875,0.0,0.0,1096.2962646484375,1818.5185546875,,,0.0,-11255.5556640625,1296.2962646484375,-21888.888671875,11111.111328125,585.1851806640625,,,0,365,0,2012,2007.0,,1.0,0.0,0.0,1946.0,3601.0,male,Domestic,5610.0,56.0,3.0,2,Central,2007-02-15,,0.1666666716337204,1
